Source ID,Source Name,Target ID,Target Name,Chunk,Label,Rationale
2485868,Acevedo v. City of Philadelphia,161281,Frazier v. Simmons,"Defendant cites to a series of federal cases wherein courts found that police officers and other public safety officials who are unable to perform certain physical job functions, such as physically restraining others or discharging a weapon, are not “qualified individuals” under the disabilities laws. (Def.’s Mot. Summ. J. 11-15.) All of these eases, however, made a determination, on the basis of the facts and evidence before the court at the time, that no genuine issue of fact existed as to the essential functions of the police officer positions in question. See, e.g., Frazier v. Simmons, 254 F.3d 1247, 1259-60 (10th Cir.2001) (finding that multiple physical requirements for police officer were essential functions where the written job description listed these multiple physical requirements and plaintiff had no probative contrary evidence)...On the other hand, Defendant fails to acknowledge the similar multitude of cases that have declined to make a factual determination of the essential functions of a police officer position where probative, contradictory evidence was presented to the court. ",Neutral,"The court cited Frazier for illustrative purposes--as an example of a case cited by the defense that reached a conclusion where there was no genuine issue of fact regarding the essential functions of the job position in question. Frazier's factual scenario is different from the one presented in Acevedo, however, so it is not applicable. This is neither a positive nor negative treatment."
2485868,Acevedo v. City of Philadelphia,668232,"Fedro v. Janet Reno, 1 Attorney General of the United States","As to Plaintiffs third point — 'that he worked successfully in a limited duty position for two years — courts have held that the mere fact that a plaintiff is able to perform the responsibilities of a limited duty position, even over an extended period, does not make that plaintiff a “qualified individual” under the Rehabilitation Act. Luckiewicz, 670 F.Supp.2d at 408-09. Under the Act, an employer need not create positions specifically for the handicapped employee. Shiring, 90 F.3d at 831 (citing Fedro v. Reno, 21 F.3d 1391, 1395 (7th Cir.1994)). Thus, the fact that Plaintiff worked at a light duty position for two years in which he was not required to carry a firearm does not bear oh whether or not the carrying of a firearm is an “essential function” of a police officer position. 4 Nor must the Court consider an otherwise non-existent position as an accommodation that would make Plaintiff qualified.",Positive,"Cited to support a statement of law. The court then applies the two cited decisions (including Fedro) to support its conclusion (indicated partly by the use of the term ""Thus,"") that the fact that the employee worked for two years in a light duty position had no bearing on whether carrying a firearm was an ""essential function"" of a police officer position."
769160,"Marinelli v. City of Erie, Pennsylvania",2341728,"Thompson v. Dot Foods, Inc.","Further, in Baulos v. Roadway Express, Inc., 139 F.3d 1147 (7th Cir. 1998), a plaintiff who suffered from kidney troubles that prevented him from sleeping inside a truck claimed that he was substantially limited in his ability to work as a truck driver. See id. The evidence, however, showed that the plaintiff 's impairment only disqualified him from trucking positions that involved overnight travel, and therefore, the plaintiff could perform the majority of other trucking positions. See id. at 1153. The Baulos court thus held that the plaintiff was not disabled. See id.; see also Thompson v. Dot Foods, Inc., 5 F. Supp. 2d 622, 626 (C.D. Ill. 1998) (holding plaintiff truck driver to be substantially limited in the major life activity of working in case in which plaintiff had submitted evidence establishing that he could not perform any trucking position involving road travel). In the present appeal, the evidence -- viewed in the light most favorable to Marinelli -- indicates only that Marinelli's injury precluded him from driving the type of snow plow utilized by the City. He has not introduced any evidence to suggest that his injury would hamper an attempt to obtain a position driving any other truck utilized by any employer -- including the City. ",Positive,"This is listed as a second example--following a previous citation to a Seventh Circuit decision, which is a same-level court. Thompson was likely included because it also involved a truck driver (Marinelli was working as a truck driver). Therefore, I've marked it as positive because it is supportive of the legal position, as well as how that might apply to the facts."
8767670,Brooklyn Center for Independence of Disabled v. Bloomberg,8751032,Dupler v. Costco Wholesale Corp.,"Plaintiffs have met this burden.  To be sure, the class members have diverse disabilities and will not all be affected by the alleged omissions in the City’s plan the same way.2  But “[c]ommonality does not mandate that all class members make identical claims and arguments, only that common issues of fact or law affect all class members.”  Stinson v. City of N.Y., 282 F.R.D. 360, 369 (S.D.N.Y. 2012) (quoting Trief v. Dun & Bradstreet Corp., 144 F.R.D. 193, 198 (S.D.N.Y. 1992)); s ee also Port Auth. Police Benevolent Ass’n v. Port Auth., 698 F.2d 150, 153-54 (2d Cir. 1983)).  In other words, “[a] court may find a common issue of law even though there exists some factual variation among class members’ specific grievances.”  Stinson, 282 F.R.D. at 369 (quoting Dupler v. Costco Wholesale Corp., 249 F.R.D. 29, 37 (E.D.N.Y. 2008)).  Here, at issue is a City-wide policy and its alleged failure to take into account the needs of disabled citizens.  This issue is common to the proposed class because it challenges “acts and omission of the [City] that are not specific to any particular Plaintiff.”  Raymond, 220 F.R.D. at 180; see alsoHenrietta D. v. Giuliani, No. 95 Civ. 0641 (SJ), 1996 WL 633382, at *14 (E.D.N.Y. Oct. 25, 1996)).  Accordingly, the commonality requirement has been met.",Neutral,"The only reason Dupler is cited here is because language from it was used by Stinson. In other words, this neither positively nor negatively assesses Dupler."
173667,Donald Brown v. Kansas City Freightliner Sales,1202563,Rask v. Fresenius Medical Care North America,"Brown must show that he gave KCF adequate notice that he was seeking FMLA leave during the disputed time period. Id. Absent the required notice, the employer’s duty to provide FMLA leave [fn 5] is not triggered... Because it is dispositive, we consider the second requirement first. Fn 5: ""Under the act, an eligible employee is entitled to up to twelve weeks of unpaid leave during a twelve-month period '[bjecause of a serious health condition that makes the employee unable to perform the functions of the position of such employee.' ” Rask v. Fresenius Med. Care N. Am., 509 F.3d 466, 471 (8th Cir.2007) (quoting 29 U.S.C. § 2612(a)(1)(D)).",Neutral,This is simply a statement of the statutory requirement.
1042637,"Equal Employment Opportunity Commission v. Abercrombie & Fitch Stores, Inc.",109692,"Trans World Airlines, Inc. v. Hardison","Title VII’s implementing regulations “impose[ ] an obligation on the employer ‘to reasonably accommodate the religious practices of an employee or prospective employee, unless the employer demonstrates that accommodation would result in undue hardship on the conduct of its business.’” Thomas, 225 F.3d at 1155 (quoting 29 C.F.R. § 1605.2(b)(1), (2)); accord 42 U.S.C. § 2000e(j); 29 C.F.R. § 1605.2(b)(1); see Trans World Airlines v. Hardison, 432 U.S. 63, 74, 97 S.Ct. 2264, 53 L.Ed.2d 113 (1977) (“The intent and effect of [Title VII’s] definition [of ‘religion’] was to make it an unlawful employment practice ... for an employer not to make reasonable accommodations, short of undue hardship, for the religious practices of his employees and prospective employees.”); see also Sanchez-Rodriguez v. AT & T Mobility P.R., Inc., 673 F.3d 1, 8 (1st Cir.2012); Walden v. Ctrs. for Disease Control and Prevention, 669 F.3d 1277, 1292-93 (11th Cir.2012) (Seymour, J., sitting by designation).",Neutral,Trans World is controlling U.S. Supreme Court precedent on this issue. The citing court is a lower court.
2113004,Hastings v. Papillion-LaVista School District,150068,"Wisbey v. City of Lincoln, Neb.","To show that one is disabled under federal law, an individual must show that she: (1) has a physical, sensory, or mental impairment that substantially limits one or more major life activities; (2) has a record of such an impairment; or (3) is regarded as having such an impairment. 42 U.S.C. § 12102(1)(A)-(C). Under the “regarded as” prong, a person may be disabled under the ADA if, notwithstanding the absence of an actual disability, he is perceived or “regarded as” having an impairment that substantially limits a major life activity. Weber v. Strippit, Inc., 186 F.3d 907, 914 (8th Cir.1999). Under the ADA, “the ‘regarded as’ provision was established to combat ‘archaic attitudes, erroneous perceptions, and myths’ working to the disadvantage of the disabled or perceived disabled.” Wisbey v. City of Lincoln, 612 F.3d 667, 672-73 (8th Cir.2010) (quoting Brunko v. Mercy Hosp., 260 F.3d 939, 942 (8th Cir.2001)).
Working has been recognized as a major life activity. See Breitkreutz v. Cambrex Charles City, Inc., 450 F.3d 780, 784 (8th Cir.2006); Nuzum v. Ozark Auto. Distrib., 432 F.3d 839, 844 (8th Cir.2005); Webner v. Titan Distrib., Inc., 267 F.3d 828, 834-35 (8th Cir.2001); Fjellestad v. Pizza Hut of Amer., Inc., 188 F.3d 944, 949 (8th Cir.1999). “ ‘In order to be regarded as disabled with respect to the major life activity of working, the employer must mistakenly believe that [an] actual impairment substantially limits the employee’s ability to work.’ ” Wisbey, 612 F.3d at 672 (quoting Chalfant v. Titan Distribution, Inc., 475 F.3d 982, 989 (8th Cir.2007)). A substantial limitation on the major life activity of working means that an individual must be “significantly restricted in the ability to perform either a class of jobs or a broad range of jobs in various classes as compared to the average person having comparable training, skills and abilities.” 29 C.F.R. § 1630.2(j)(3)(i). The test is whether the defendant treated an employee adversely because it regarded the employee as having an impairment that substantially limits one or more major life activities. Weber, 186 F.3d at 915; Kellogg, 233 F.3d at 1089.
Under the law in effect at the time of the plaintiffs termination, the terms “major life activities” and “substantial limita *964 tion” were interpreted strictly to create a demanding standard for qualifying as disabled. 3 Toyota Motor Mfg., Ky., Inc. v. Williams, 534 U.S. 184, 197, 122 S.Ct. 681, 151 L.Ed.2d 615 (2002) (abrogated by statute in Pub. L. 110-325 (2008)); accord Ristrom v. Asbestos Workers Local Sk Joint Apprentice Comm., 370 F.3d 763, 768 (8th Cir.2004). Courts were to consider the nature, severity, duration, and long-term impact of the impairment when deciding whether an impairment substantially limits a major life activity. Wood v. Crown Redi-Mix, Inc., 339 F.3d 682, 685 (2003). The impairment also had to be of an extended or permanent duration. Williams, 534 U.S. at 198, 122 S.Ct. 681.",Positive,"In this instance, Wisbey is cited for two purposes and both support the court's conclusion."
2113004,Hastings v. Papillion-LaVista School District,152234,Nyrop v. Independent School District No. 11,"[The 'regarded as' prong of § 12102(1)] shall not apply to impairments that are transitory and minor. A transitory impairment is an impairment with an actual or expected duration of 6 months or less.”). Because the plaintiff was terminated prior to January 1, 2009, the ADAAA does not apply to her. Nyrop v. Independent Sch. Dist. No. 11, 616 F.3d 728, 734 (8th Cir.2010).",Positive,"Here, the court follows the Eighth Circuit's conclusion in Nyrop (which in turn relied on sister courts) for the conclusion that the ADAAA of 2008 was not retroactive and was inapplicable to the plaintiff's claims."
2113004,Hastings v. Papillion-LaVista School District,762234,Berg v. Norand Corporation,"No separate summary judgment standard exists for discrimination or retaliation cases and such cases are not immune from summary judgment. Wallace, 442 F.3d at 1118; Berg v. Norand Corp., 169 F.3d 1140, 1144 (8th Cir.1999) (“[T]here is no ‘discrimination case exception’ to the application of Fed.R.Civ.P. 56, and it remains a useful pretrial tool to determine whether or not any case, including one alleging discrimination, merits a trial.”).",Positive,"The court uses Berg, an Eighth Circuit decision, as support for its statement that no exception to the summary judgment standard exists for particular types of cases."
2113004,Hastings v. Papillion-LaVista School District,765810,"Fjellestad v. Pizza Hut of America, Inc.","Working has been recognized as a major life activity. See Breitkreutz v. Cambrex Charles City, Inc., 450 F.3d 780, 784 (8th Cir.2006); Nuzum v. Ozark Auto. Distrib., 432 F.3d 839, 844 (8th Cir.2005); Webner v. Titan Distrib., Inc., 267 F.3d 828, 834-35 (8th Cir.2001); Fjellestad v. Pizza Hut of Amer., Inc., 188 F.3d 944, 949 (8th Cir.1999). ",Positive,Fjellestad is the earliest in a series of cases that support the assertion that working is recognized as a major life activity.
